Subject,Start date,Start time,End date,End time,Description,Location,All Day Event,Private
"AER372","01/26/2017","13:00:00","01/26/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","01/27/2017","11:00:00","01/27/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/27/2017","15:00:00","01/27/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/27/2017","11:00:00","01/27/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","01/30/2017","09:00:00","01/30/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/30/2017","15:00:00","01/30/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/30/2017","11:00:00","01/30/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","01/30/2017","16:00:00","01/30/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","01/31/2017","09:00:00","01/31/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","01/31/2017","12:00:00","01/31/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","01/31/2017","16:00:00","01/31/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","02/01/2017","09:00:00","02/01/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/01/2017","15:00:00","02/01/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","02/01/2017","11:00:00","02/01/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","02/01/2017","17:00:00","02/01/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","02/01/2017","11:00:00","02/01/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","02/02/2017","15:00:00","02/02/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","02/02/2017","18:00:00","02/02/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","02/02/2017","12:00:00","02/02/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","02/02/2017","13:00:00","02/02/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","02/03/2017","11:00:00","02/03/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/03/2017","15:00:00","02/03/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/03/2017","11:00:00","02/03/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","02/06/2017","09:00:00","02/06/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/06/2017","15:00:00","02/06/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/06/2017","11:00:00","02/06/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","02/06/2017","16:00:00","02/06/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","02/07/2017","09:00:00","02/07/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","02/07/2017","12:00:00","02/07/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","02/07/2017","16:00:00","02/07/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","02/08/2017","09:00:00","02/08/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/08/2017","15:00:00","02/08/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","02/08/2017","11:00:00","02/08/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","02/08/2017","17:00:00","02/08/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","02/08/2017","11:00:00","02/08/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","02/09/2017","15:00:00","02/09/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","02/09/2017","18:00:00","02/09/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","02/09/2017","12:00:00","02/09/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","02/09/2017","13:00:00","02/09/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","02/10/2017","11:00:00","02/10/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/10/2017","15:00:00","02/10/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/10/2017","11:00:00","02/10/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","02/13/2017","09:00:00","02/13/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/13/2017","15:00:00","02/13/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/13/2017","11:00:00","02/13/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","02/13/2017","16:00:00","02/13/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","02/14/2017","09:00:00","02/14/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","02/14/2017","12:00:00","02/14/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","02/14/2017","16:00:00","02/14/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","02/15/2017","09:00:00","02/15/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/15/2017","15:00:00","02/15/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","02/15/2017","11:00:00","02/15/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","02/15/2017","17:00:00","02/15/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","02/15/2017","11:00:00","02/15/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","02/16/2017","15:00:00","02/16/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","02/16/2017","18:00:00","02/16/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","02/16/2017","12:00:00","02/16/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","02/16/2017","13:00:00","02/16/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","02/17/2017","11:00:00","02/17/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/17/2017","15:00:00","02/17/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/17/2017","11:00:00","02/17/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","02/20/2017","09:00:00","02/20/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/20/2017","15:00:00","02/20/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/20/2017","11:00:00","02/20/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","02/20/2017","16:00:00","02/20/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","02/21/2017","09:00:00","02/21/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","02/21/2017","12:00:00","02/21/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","02/21/2017","16:00:00","02/21/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","02/22/2017","09:00:00","02/22/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/22/2017","15:00:00","02/22/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","02/22/2017","11:00:00","02/22/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","02/22/2017","17:00:00","02/22/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","02/22/2017","11:00:00","02/22/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","02/23/2017","15:00:00","02/23/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","02/23/2017","18:00:00","02/23/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","02/23/2017","12:00:00","02/23/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","02/23/2017","13:00:00","02/23/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","02/24/2017","11:00:00","02/24/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/24/2017","15:00:00","02/24/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/24/2017","11:00:00","02/24/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","02/27/2017","09:00:00","02/27/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","02/27/2017","15:00:00","02/27/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","02/27/2017","11:00:00","02/27/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","02/27/2017","16:00:00","02/27/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","02/28/2017","09:00:00","02/28/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","02/28/2017","12:00:00","02/28/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","02/28/2017","16:00:00","02/28/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","03/01/2017","09:00:00","03/01/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/01/2017","15:00:00","03/01/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","03/01/2017","11:00:00","03/01/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","03/01/2017","17:00:00","03/01/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","03/01/2017","11:00:00","03/01/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","03/02/2017","15:00:00","03/02/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","03/02/2017","18:00:00","03/02/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","03/02/2017","12:00:00","03/02/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","03/02/2017","13:00:00","03/02/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","03/03/2017","11:00:00","03/03/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/03/2017","15:00:00","03/03/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/03/2017","11:00:00","03/03/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","03/06/2017","09:00:00","03/06/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/06/2017","15:00:00","03/06/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/06/2017","11:00:00","03/06/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","03/06/2017","16:00:00","03/06/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","03/07/2017","09:00:00","03/07/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","03/07/2017","12:00:00","03/07/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","03/07/2017","16:00:00","03/07/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","03/08/2017","09:00:00","03/08/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/08/2017","15:00:00","03/08/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","03/08/2017","11:00:00","03/08/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","03/08/2017","17:00:00","03/08/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","03/08/2017","11:00:00","03/08/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","03/09/2017","15:00:00","03/09/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","03/09/2017","18:00:00","03/09/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","03/09/2017","12:00:00","03/09/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","03/09/2017","13:00:00","03/09/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","03/10/2017","11:00:00","03/10/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/10/2017","15:00:00","03/10/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/10/2017","11:00:00","03/10/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","03/13/2017","09:00:00","03/13/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/13/2017","15:00:00","03/13/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/13/2017","11:00:00","03/13/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","03/13/2017","16:00:00","03/13/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","03/14/2017","09:00:00","03/14/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","03/14/2017","12:00:00","03/14/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","03/14/2017","16:00:00","03/14/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","03/15/2017","09:00:00","03/15/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/15/2017","15:00:00","03/15/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","03/15/2017","11:00:00","03/15/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","03/15/2017","17:00:00","03/15/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","03/15/2017","11:00:00","03/15/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","03/16/2017","15:00:00","03/16/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","03/16/2017","18:00:00","03/16/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","03/16/2017","12:00:00","03/16/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","03/16/2017","13:00:00","03/16/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","03/17/2017","11:00:00","03/17/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/17/2017","15:00:00","03/17/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/17/2017","11:00:00","03/17/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","03/20/2017","09:00:00","03/20/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/20/2017","15:00:00","03/20/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/20/2017","11:00:00","03/20/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","03/20/2017","16:00:00","03/20/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","03/21/2017","09:00:00","03/21/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","03/21/2017","12:00:00","03/21/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","03/21/2017","16:00:00","03/21/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","03/22/2017","09:00:00","03/22/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/22/2017","15:00:00","03/22/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","03/22/2017","11:00:00","03/22/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","03/22/2017","17:00:00","03/22/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","03/22/2017","11:00:00","03/22/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","03/23/2017","15:00:00","03/23/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","03/23/2017","18:00:00","03/23/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","03/23/2017","12:00:00","03/23/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","03/23/2017","13:00:00","03/23/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","03/24/2017","11:00:00","03/24/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/24/2017","15:00:00","03/24/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/24/2017","11:00:00","03/24/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","03/27/2017","09:00:00","03/27/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/27/2017","15:00:00","03/27/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/27/2017","11:00:00","03/27/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","03/27/2017","16:00:00","03/27/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","03/28/2017","09:00:00","03/28/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","03/28/2017","12:00:00","03/28/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","03/28/2017","16:00:00","03/28/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","03/29/2017","09:00:00","03/29/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/29/2017","15:00:00","03/29/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","03/29/2017","11:00:00","03/29/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","03/29/2017","17:00:00","03/29/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","03/29/2017","11:00:00","03/29/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","03/30/2017","15:00:00","03/30/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","03/30/2017","18:00:00","03/30/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","03/30/2017","12:00:00","03/30/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","03/30/2017","13:00:00","03/30/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","03/31/2017","11:00:00","03/31/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","03/31/2017","15:00:00","03/31/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","03/31/2017","11:00:00","03/31/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","04/03/2017","09:00:00","04/03/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","04/03/2017","15:00:00","04/03/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","04/03/2017","11:00:00","04/03/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","04/03/2017","16:00:00","04/03/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","04/04/2017","09:00:00","04/04/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","04/04/2017","12:00:00","04/04/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","04/04/2017","16:00:00","04/04/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","04/05/2017","09:00:00","04/05/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","04/05/2017","15:00:00","04/05/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","04/05/2017","11:00:00","04/05/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","04/05/2017","17:00:00","04/05/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","04/05/2017","11:00:00","04/05/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","04/06/2017","15:00:00","04/06/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","04/06/2017","18:00:00","04/06/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","04/06/2017","12:00:00","04/06/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","04/06/2017","13:00:00","04/06/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
